average value,histogram variance,y axis variance,pressure value ratio as 3,points ratio as 3,target
272.4642857,76710.6773,2.044446513,0.959,0.786,0
272.4642857,76710.6773,2.044446513,0.959,0.786,0
272.4642857,76710.6773,2.044446513,0.959,0.786,0
272.4642857,76710.6773,2.044446513,0.959,0.786,0
272.4642857,76710.6773,2.044446513,0.959,0.786,0
272.4642857,76710.6773,2.044446513,0.959,0.786,0
265.4827586,76065.56005,2.04118425,0.954,0.759,0
265.4827586,76065.56005,2.04118425,0.954,0.759,0
265.4827586,76065.56005,2.04118425,0.954,0.759,0
265.4827586,76065.56005,2.04118425,0.954,0.759,0
265.4827586,76065.56005,2.04118425,0.954,0.759,0
265.4827586,76065.56005,2.04118425,0.954,0.759,0
265.4827586,76065.56005,2.04118425,0.954,0.759,0
272.8571429,77178.97959,2.045649722,0.96,0.821,0
272.8571429,77178.97959,2.045649722,0.96,0.821,0
272.8571429,77178.97959,2.045649722,0.96,0.821,0
272.8571429,77178.97959,2.045649722,0.96,0.821,0
272.8571429,77178.97959,2.045649722,0.96,0.821,0
272.8571429,77178.97959,2.045649722,0.96,0.821,0
272.8571429,77178.97959,2.045649722,0.96,0.821,0
277.6785714,78040.78954,2.023017032,0.957,0.786,0
277.6785714,78040.78954,2.023017032,0.957,0.786,0
277.6785714,78040.78954,2.023017032,0.957,0.786,0
277.6785714,78040.78954,2.023017032,0.957,0.786,0
277.6785714,78040.78954,2.023017032,0.957,0.786,0
277.6785714,78040.78954,2.023017032,0.957,0.786,0
268.6896552,76947.11058,2.073022939,0.956,0.793,0
268.6896552,76947.11058,2.073022939,0.956,0.793,0
268.6896552,76947.11058,2.073022939,0.956,0.793,0
268.6896552,76947.11058,2.073022939,0.956,0.793,0
268.6896552,76947.11058,2.073022939,0.956,0.793,0
268.6896552,76947.11058,2.073022939,0.956,0.793,0
268.6896552,76947.11058,2.073022939,0.956,0.793,0
259.7333333,75940.12889,2.089222176,0.95,0.733,0
259.7333333,75940.12889,2.089222176,0.95,0.733,0
259.7333333,75940.12889,2.089222176,0.95,0.733,0
259.7333333,75940.12889,2.089222176,0.95,0.733,0
259.7333333,75940.12889,2.089222176,0.95,0.733,0
259.7333333,75940.12889,2.089222176,0.95,0.733,0
259.7333333,75940.12889,2.089222176,0.95,0.733,0
261.3,76509.27667,2.062570788,0.954,0.767,0
261.3,76509.27667,2.062570788,0.954,0.767,0
261.3,76509.27667,2.062570788,0.954,0.767,0
261.3,76509.27667,2.062570788,0.954,0.767,0
261.3,76509.27667,2.062570788,0.954,0.767,0
261.3,76509.27667,2.062570788,0.954,0.767,0
272.3103448,77937.11058,2.077127306,0.955,0.793,0
272.3103448,77937.11058,2.077127306,0.955,0.793,0
